disease,snorna
D008175,652966
D008175,692234
D008175,692235
D008175,692227
D008175,100113382
D008175,692215
D008175,767563
D008175,767567
D008175,767568
D008175,767569
D008175,767577
D008175,767590
D008175,767593
D008175,767595
D008175,767599
D008175,767579
D008175,338433
D008175,100113392
D008175,100113379
D008175,692084
D008175,85390
D008175,595097
D008175,595099
D008175,100113381
D008175,677850
D008175,9303
D008175,9301
D008175,9300
D008175,9299
D008175,26818
D008175,26815
D008175,26812
D008175,94163
D008175,780854
D008175,94161
D008175,692087
D008175,26773
D008175,26772
D008175,692072
D008175,26798
D008175,26795
D008175,692090
D008175,26788
D008175,26785
D008175,692107
D008175,619564
D008175,8944
D008175,692195
D008175,692196
D008175,692197
D008175,692198
D008175,26770
D008175,692202
D008175,692203
D008175,692205
D008175,692211
D008175,692212
D020786,26771
D020786,100113382
D020786,692213
D020786,767563
D020786,767566
D020786,767567
D020786,767568
D020786,767569
D020786,767577
D020786,767590
D020786,767600
D020786,767603
D020786,767606
D020786,100033447
D020786,100033453
D020786,100033454
D020786,100033603
D020786,100033800
D020786,100033806
D020786,100033807
D020786,100033814
D020786,100033816
D020786,100033445
D020786,100033427
D020786,100033432
D020786,100033435
D020786,100033821
D020786,6079
D020786,26819
D020786,26814
D020786,26812
D020786,26809
D020786,26808
D020786,26797
D020786,26789
D020786,692075
D020786,26788
D020786,26787
D020786,347686
D020786,606500
D020786,692109
D020786,116938
D020786,692206
D020786,692210
D013274,692073
D013274,677804
D013274,677824
D013274,677809
D013274,677814
D013274,677842
D013274,677836
D013274,677838
D013274,6080
D013274,677798
D013274,652966
D013274,594837
D013274,26771
D013274,692200
D013274,692227
D013274,692229
D013274,100113382
D013274,692058
D013274,692213
D013274,692214
D013274,767563
D013274,767566
D013274,767567
D013274,767568
D013274,767577
D013274,767590
D013274,767591
D013274,767592
D013274,767593
D013274,767595
D013274,767598
D013274,767599
D013274,767600
D013274,767603
D013274,767605
D013274,767606
D013274,767609
D013274,767610
D013274,767579
D013274,767581
D013274,767585
D013274,100033413
D013274,100033428
D013274,100033414
D013274,100033431
D013274,100033432
D013274,100033436
D013274,100033415
D013274,692233
D013274,100113378
D013274,692057
D013274,101340252
D013274,100113384
D013274,101340251
D013274,100113380
D013274,100113391
D013274,100113389
D013274,100113393
D013274,26765
D013274,692084
D013274,26822
D013274,85388
D013274,85389
D013274,85390
D013274,85391
D013274,6079
D013274,114599
D013274,595097
D013274,595098
D013274,595099
D013274,595100
D013274,692089
D013274,100113381
D013274,677848
D013274,677849
D013274,677850
D013274,619567
D013274,6082
D013274,6083
D013274,9304
D013274,26820
D013274,9303
D013274,9302
D013274,9301
D013274,9300
D013274,9298
D013274,26818
D013274,26817
D013274,26816
D013274,84546
D013274,26815
D013274,26814
D013274,26812
D013274,94162
D013274,94163
D013274,780851
D013274,26851
D013274,780852
D013274,780853
D013274,780854
D013274,26843
D013274,26810
D013274,26809
D013274,26808
D013274,26807
D013274,26806
D013274,26805
D013274,692085
D013274,94161
D013274,26802
D013274,26801
D013274,26800
D013274,692087
D013274,26773
D013274,26772
D013274,692072
D013274,26799
D013274,26798
D013274,26797
D013274,26796
D013274,26795
D013274,26811
D013274,26793
D013274,26792
D013274,26791
D013274,26790
D013274,100124516
D013274,26789
D013274,692090
D013274,692075
D013274,26788
D013274,26787
D013274,26786
D013274,692093
D013274,26785
D013274,692106
D013274,692107
D013274,692108
D013274,692076
D013274,692110
D013274,619564
D013274,8944
D013274,619498
D013274,692195
D013274,692196
D013274,692197
D013274,692198
D013274,26770
D013274,26774
D013274,26769
D013274,25826
D013274,116937
D013274,116938
D013274,692199
D013274,641648
D013274,692202
D013274,692204
D013274,692205
D013274,692208
D013274,692209
D013274,692210
D013274,692225
D013274,619571
D013274,692223
D013274,692211
D013274,692212
D008103,100033805
D008103,101340252
D008103,26812
D006528,677809
D006528,594837
D006528,26771
D006528,692234
D006528,692235
D006528,767561
D006528,767565
D006528,767568
D006528,767577
D006528,100033450
D006528,100033805
D006528,100033435
D006528,100113379
D006528,101340252
D006528,100113391
D006528,692084
D006528,85390
D006528,100113381
D006528,677848
D006528,619567
D006528,26813
D006528,26812
D006528,26843
D006528,26810
D006528,26806
D006528,692087
D006528,692088
D006528,347686
D006528,692107
D006528,619564
D006528,692195
D006528,692196
D006528,692197
D006528,692198
D006528,26769
D006528,25826
D006528,692202
D006528,692204
D006528,692206
D015179,100124538
D015179,100113384
D015179,100113391
D015179,26818
D015179,692196
D015179,692198
D014901,654322
D014901,677804
D014901,677808
D014901,677814
D014901,594839
D014901,677817
D014901,619562
D014901,677827
D014901,677842
D014901,677832
D014901,677838
D014901,26779
D014901,26775
D014901,677823
D014901,677847
D014901,677798
D014901,652966
D014901,692200
D014901,692058
D014901,767590
D014901,767592
D014901,26822
D014901,85388
D014901,6079
D014901,595097
D014901,677850
D014901,692091
D014901,26816
D014901,780851
D014901,26786
D014901,692076
D014901,692111
D014901,26770
D014901,692206
D014901,692223
D011471,692233
D011471,114599
D011471,9304
D011471,26818
D011471,780851
D011471,26799
D011471,26789
D011471,606500
D011471,692198
D011471,25826
D011471,692205
D011471,692225
D011471,692223
D012516,652966
D012516,692225
D001943,338433
D001943,727676
D001943,114599
D001943,9304
D001943,780851
D001943,26807
D001943,26806
D001943,26801
D001943,26799
D001943,692205
D001943,692225
D001943,692223
D005909,26802
D005909,692196
D005910,780851
D005910,692196
D021441,9304
D002289,26818
D002289,692107
D002289,692198
D010051,767588
D010051,767589
D010051,767578
D010051,692205
D015470,85390
D015470,26816
D015470,26807
D015470,619498
D007154,692234
D007154,692227
D007154,692229
D007154,692058
D007154,692214
D007154,100033436
D007154,692233
D007154,100113392
D007154,692057
D007154,100113381
D007154,6082
D007154,6083
D007154,692091
D007154,26820
D007154,9299
D007154,9298
D007154,26819
D007154,26818
D007154,26817
D007154,26816
D007154,94162
D007154,26804
D007154,26802
D007154,26797
D007154,26796
D007154,26811
D007154,26790
D007154,26789
D007154,692090
D007154,26788
D007154,26786
D007154,692107
D007154,692108
D007154,692111
D007154,692199
D007154,692202
D007154,692204
D007154,692205
D007154,692225
D014376,692227
D014376,85389
D015473,692215
D015473,767577
D006333,692215
D006333,767562
D006333,767566
D006333,767568
D006333,767577
D007889,767565
D007889,767595
D007889,595097
D007889,26815
D007889,692087
D007889,26797
D007889,26795
D007889,26793
D007889,8944
D007889,692225
D007889,619571
D011218,338433
D011218,347686
D000230,26820
D055752,26818
D000077195,84546
D015535,780851
D020031,692205
